Alarm,Backup/Run Time (Full Load),Backup/Run Time (Half Load),Battery Chemistry,Battery Life,Dataline Protection,Emergency Power OFF,Form Factor,Hot Swappable,Input Voltage,Kind,Link,Load Capacity (VA),Load Capacity (W),Manufacturer,Maximum Battery Recharge Time,Name,Output Voltage,Part #,Prices,Protection Type,Rack Height,Receptacles,Serial Port,Switching Time,USB,Waveform Type,avg,short_link,load_cap_w,load_cap_va,max_batt_recharge_time,full_load,half_load
On Battery<br/>Overload<br/>Low Battery,3.50 Minutes,10 Minutes,,,,Yes,,Yes,110 V AC,UPS,/product/xD8H99/tripp-lite-ups-smart3000rm2u,3000 VA,2250 W,Tripp Lite,4.50 Hour,Tripp Lite SMART3000RM2U UPS,120 V AC,SMART3000RM2U,"[915.17, 916.98, 929.99, 908.99, 1022.99, 969.0]",Over Voltage<br/>Under Voltage,2U,4 x NEMA 5-15R<br/>4 x NEMA L5-30R<br/>1 x NEMA 5-20R,,4 ms,Yes,Sine Wave,943.853333333,tripp-lite-ups-smart3000rm2u,2250.0,3000.0,4.5,3.5,10.0
,3 Minutes,13 Minutes,Lead Acid,,,,Tower,Yes,110 V AC,UPS,/product/ksJkcf/apc-ups-br1500g,1500 VA,865 W,APC,8 Hour,APC BR1500G UPS,120 V AC,BR1500G,"[160.21, 163.29, 169.49, 179.0, 160.21, 180.99, 194.99, 199.99, 182.49, 179.99]",,,5 x NEMA 5-15R,,,,,177.065,apc-ups-br1500g,865.0,1500.0,8.0,3.0,13.0
On Battery<br/>Overload<br/>Low Battery,7 Minutes,19 Minutes,Sealed Lead Acid,6 Year,,Yes,Tower,Yes,110 V AC,UPS,/product/YPs8TW/tripp-lite-ups-smart2200vs,2200 VA,1600 W,Tripp Lite,4 Hour,Tripp Lite SMART2200VS UPS,120 V AC,SMART2200VS,"[600.1, 614.98, 599.99, 620.99, 600.1, 689.99]",,,7 x NEMA 5-15R<br/>2 x NEMA 5-20R,,4 ms,Yes,,621.025,tripp-lite-ups-smart2200vs,1600.0,2200.0,4.0,7.0,19.0
,6.10 Minutes,20.60 Minutes,Sealed Lead Acid,,,Optional,Tower,Yes,110 V AC,UPS,/product/QxYWGX/apc-ups-smt1000,1000 VA,670 W,APC,3 Hour,APC SMT1000 UPS,120 V AC,SMT1000,"[349.49, 350.49, 350.49, 363.49, 376.99, 349.99, 349.99, 412.98, 419.99, 459.0]",,,8 x NEMA 5-15R,Yes,,Yes,,378.29,apc-ups-smt1000,670.0,1000.0,3.0,6.1,20.6
,5 Minutes,17 Minutes,Sealed Lead Acid,,,Optional,Tower/Rack Mountable,Yes,110 V AC,UPS,/product/Pr7CmG/apc-ups-sua3000xlnetpkg,3000 VA,2700 W,APC,3 Hour,APC SUA3000XL-NETPKG UPS,120 V AC,SUA3000XL-NETPKG,[1638.79],,,9 x NEMA 5-15R<br/>2 x NEMA 5-20R,Yes,,,,1638.79,apc-ups-sua3000xlnetpkg,2700.0,3000.0,3.0,5.0,17.0
Low Battery<br/>On Battery<br/>Overload,3 Minutes,12 Minutes,Sealed Lead Acid,6 Year,Type F Connector<br/>RJ-45<br/>RJ-11,No,Tower,Yes,110 V AC,UPS,/product/JLDzK8/cyberpower-ups-cp900avr,900 VA,560 W,CyberPower,8 Hour,CyberPower CP900AVR UPS,120 V AC,CP900AVR,"[106.95, 109.0, 106.95, 120.95]",,,4 x NEMA 5-15R,Yes,4 ms,Yes,Simulated Sine Wave,110.9625,cyberpower-ups-cp900avr,560.0,900.0,8.0,3.0,12.0
,,,Lead Acid,,RJ-11,,Desktop,,110 V AC,UPS,/product/8GfmP6/cyberpower-ups-ec550g,550 VA,330 W,CyberPower,8 Hour,CyberPower EC550G UPS,120 V AC,EC550G,"[57.95, 55.0, 69.99]",,,4 x NEMA 5-15R,,,Yes,,60.98,cyberpower-ups-ec550g,330.0,550.0,8.0,0.0,0.0
On Battery<br/>Low Battery<br/>Overload,7.98 Minutes,24 Minutes,Lead Acid,,,Yes,Mini-tower,,110 V AC,UPS,/product/zQVBD3/cyberpower-ups-pr1500lcd,1500 VA,1050 W,CyberPower,8 Hour,CyberPower PR1500LCD UPS,120 V AC,PR1500LCD,"[402.95, 402.95, 402.95, 419.99, 402.95, 402.95]",,,8 x NEMA 5-15R,Yes,,Yes,Sine Wave,405.79,cyberpower-ups-pr1500lcd,1050.0,1500.0,8.0,7.98,24.0
,3 Minutes,9 Minutes,Sealed Lead Acid,,RJ-45<br/>RG-6<br/>RJ-11,,Mini-tower,,110 V AC,UPS,/product/VxYWGX/cyberpower-ups-cp1000pfclcdtaa,1000 VA,600 W,CyberPower,8 Hour,CyberPower CP1000PFCLCDTAA UPS,120 V AC,CP1000PFCLCDTAA,"[150.62, 150.62, 163.99]",,,10 x NEMA 5-15R,Yes,,Yes,Sine Wave,155.076666667,cyberpower-ups-cp1000pfclcdtaa,600.0,1000.0,8.0,3.0,9.0
,11 Minutes,31 Minutes,Sealed Lead Acid,,RJ-45<br/>RJ-11,Yes,Rack-mountable,Yes,220 V AC,UPS,/product/BXH48d/cyberpower-ups-pr5000lcdrtxl5utaa,5000 VA,4000 W,CyberPower,8 Hour,CyberPower PR5000LCDRTXL5UTAA UPS,208 V AC,PR5000LCDRTXL5UTAA,"[2101.99, 2509.99]",,5U,3 x NEMA L6-20R<br/>2 x NEMA L6-30R,Yes,4 ms,Yes,,2305.99,cyberpower-ups-pr5000lcdrtxl5utaa,4000.0,5000.0,8.0,11.0,31.0
On Battery,5 Minutes,14 Minutes,,6 Year,RJ-45,,Tower,Yes,110 V AC,UPS,/product/C3FXsY/tripp-lite-ups-omnivs1500xl,1500 VA,940 W,Tripp Lite,4 Hour,Tripp Lite OMNIVS1500XL UPS,120 V AC,OMNIVS1500XL,"[204.99, 204.99, 219.98, 229.99, 249.99]",,,2 x NEMA 5-15R<br/>6 x NEMA 5-15R,,4 ms,Yes,,221.988,tripp-lite-ups-omnivs1500xl,940.0,1500.0,4.0,5.0,14.0
On Battery<br/>Low Battery<br/>Overload<br/>UPS Fault<br/>Inverter Failure<br/>Remote Shutdown,11 Minutes,26 Minutes,Sealed Lead Acid,,,Yes,Yes,Yes,220 V AC,UPS,/product/LWX2FT/tripp-lite-ups-su5000rt3uhv,5000 VA,3500 W,Tripp Lite,4 Hour,Tripp Lite SU5000RT3UHV UPS,240 V AC<br/>208 V AC<br/>220 V AC,SU5000RT3UHV,"[2900.74, 2996.99, 3076.86, 3179.99]",,5U,2 x NEMA L6-20R<br/>2 x NEMA L6-30R,,0 ns,,Sine Wave,3038.645,tripp-lite-ups-su5000rt3uhv,3500.0,5000.0,4.0,11.0,26.0
,1.60 Minutes,10 Minutes,,,,,Tower,,110 V AC,UPS,/product/gRGj4D/tripp-lite-ups-smart1500lcdt,1500 VA,900 W,Tripp Lite,8 Hour,Tripp Lite SMART1500LCDT UPS,120 V AC,SMART1500LCDT,"[149.8, 154.99, 183.98, 179.99, 187.99, 169.74]",Brownout<br/>Over Voltage,,5 x NEMA 5-15R,Yes,2 ms,Yes,Pulse-width Modulated Sine Wave,171.081666667,tripp-lite-ups-smart1500lcdt,900.0,1500.0,8.0,1.6,10.0
,3 Minutes,,Sealed Lead Acid,,,,Tower,Yes,220 V AC,UPS,/product/LxYWGX/apc-ups-br500cias,500 VA,300 W,APC,10 Hour,APC BR500CI-AS UPS,230 V AC,BR500CI-AS,"[60.52, 58.99]",,,3 x IEC 60320 C13,,,,,59.755,apc-ups-br500cias,300.0,500.0,10.0,3.0,0.0
,7 Minutes,26 Minutes,Sealed Lead Acid,,,Optional,Rack-mountable,Yes,,UPS,/product/MYrcCJ/apc-ups-smt1500rmi2u,1500 VA,1000 W,APC,3 Hour,APC SMT1500RMI2U UPS,230 V AC,SMT1500RMI2U,"[861.95, 879.0, 879.0, 893.28, 879.99]",,2U,,,,Yes,,878.644,apc-ups-smt1500rmi2u,1000.0,1500.0,3.0,7.0,26.0
On Battery<br/>Low Battery,5.20 Minutes,15.70 Minutes,Sealed Lead Acid,,,Yes,,Yes,110 V AC,UPS,/product/xqkwrH/apc-ups-sua2200rm2u,2200 VA,1980 W,APC,3 Hour,APC SUA2200RM2U UPS,120 V AC,SUA2200RM2U,"[1200.99, 1239.2]",,2U,6 x NEMA 5-15R<br/>2 x NEMA 5-20R,Yes,,Yes,Sine Wave,1220.095,apc-ups-sua2200rm2u,1980.0,2200.0,3.0,5.2,15.7
,8 Minutes,28 Minutes,Sealed Lead Acid,,,Optional,Tower,Yes,,UPS,/product/VKZ2FT/apc-ups-smc1500i,1500 VA,900 W,APC,3 Hour,APC SMC1500I UPS,230 V AC,SMC1500I,[475.37],,,,Yes,,Yes,,475.37,apc-ups-smc1500i,900.0,1500.0,3.0,8.0,28.0
,3 Minutes,12 Minutes,Lead Acid,,,,Rack-mountable,Yes,120 V AC,UPS,/product/YD8H99/apc-ups-smt3000rm2u,3000 VA,2700 W,APC,3 Hour,APC SMT3000RM2U UPS,120 V AC,SMT3000RM2U,"[1047.51, 1098.99, 1099.0, 1099.0, 1127.99, 1099.0, 1179.0, 1329.99]",,2U,6 x NEMA 5-15R<br/>2 x NEMA 5-20R,Yes,,Yes,,1135.06,apc-ups-smt3000rm2u,2700.0,3000.0,3.0,3.0,12.0
,,,,,,,Rack-mountable,,208 V AC,UPS,/product/ynnG3C/apc-ups-srt5krmxlt,5000 VA,4250 W,APC,1.50 Hour,APC SRT5KRMXLT UPS,208 V AC,SRT5KRMXLT,"[3532.54, 3769.95, 3852.94, 3848.71, 3999.99, 4019.99]",,3U,2 x NEMA L6-20R<br/>2 x NEMA L6-30R,,,,,3837.35333333,apc-ups-srt5krmxlt,4250.0,5000.0,1.5,0.0,0.0
,8.10 Minutes,24.20 Minutes,Sealed Lead Acid,,,Yes,Tower/Rack Mountable,Yes,110 V AC,UPS,/product/gM8H99/apc-ups-smx1000,1000 VA,800 W,APC,3 Hour,APC SMX1000 UPS,120 V AC,SMX1000,"[505.3, 517.66, 559.95, 559.95, 561.99, 565.98, 589.99, 587.99]",,2U,8 x NEMA 5-15R,,,Yes,,556.10125,apc-ups-smx1000,800.0,1000.0,3.0,8.1,24.2
,1 Minute,7 Minutes,Sealed Lead Acid,,RG-6<br/>RJ-45<br/>RJ-11,,Tower,,110 V AC,UPS,/product/Zpbkcf/cyberpower-ups-cp850avrlcd,850 VA,510 W,CyberPower,8 Hour,CyberPower CP850AVRLCD UPS,120 V AC,CP850AVRLCD,"[104.95, 104.95, 104.95, 104.95, 104.99, 104.95, 132.9]",,,5 x NEMA 5-15R<br/>4 x NEMA 5-15R,Yes,4 ms,Yes,,108.948571429,cyberpower-ups-cp850avrlcd,510.0,850.0,8.0,1.0,7.0
,8 Minutes,24 Minutes,Sealed Lead Acid,,RJ-45<br/>RJ-11,Yes,Rack-mountable<br/>Tower,Yes,110 V AC,UPS,/product/TQVBD3/cyberpower-ups-pr1500lcdrtxl2u,1500 VA,1350 W,CyberPower,6 Hour,CyberPower PR1500LCDRTXL2U UPS,120 V AC,PR1500LCDRTXL2U,"[595.95, 595.95, 595.95, 614.99, 595.95, 595.95]",,2U,8 x NEMA 5-15R,Yes,4 ms,Yes,,599.123333333,cyberpower-ups-pr1500lcdrtxl2u,1350.0,1500.0,6.0,8.0,24.0
On Battery<br/>Self-test Operation,2.50 Minutes,11 Minutes,Sealed Lead Acid,6 Year,RJ-11,,Ultra-compact Desk-mount,Yes,110 V AC,UPS,/product/VJVBD3/tripp-lite-ups-internet750u,750 VA,450 W,Tripp Lite,4 Hour,Tripp Lite INTERNET750U UPS,120 V AC,INTERNET750U,"[83.99, 89.99, 86.99, 84.01, 95.99, 100.99, 104.15, 148.5]",Black Out<br/>Brownout,,6 x NEMA 5-15R,,4 ms,Yes,Pulse-width Modulated Sine Wave,99.32625,tripp-lite-ups-internet750u,450.0,750.0,4.0,2.5,11.0
